#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
454_g                -           1243 1928at5794           -            958         0 1554.2  11.4   1   2  1.2e-208  1.7e-205  683.6   1.3    26   422    82   534    66   558 0.91 -
454_g                -           1243 1928at5794           -            958         0 1554.2  11.4   2   2    2e-265  2.9e-262  871.5   3.0   420   957   600  1225   589  1226 0.89 -
6319_g               -            357 1928at5794           -            958   3.6e-96  321.8   3.0   1   1   3.4e-99   4.9e-96  321.3   3.0    26   218   139   349   123   354 0.93 -
3604_g               -            902 1928at5794           -            958   4.9e-51  172.4  26.2   1   3   1.5e-10   2.1e-07   28.0   0.6   725   896    55   227    32   270 0.65 -
3604_g               -            902 1928at5794           -            958   4.9e-51  172.4  26.2   2   3   1.1e-38   1.6e-35  121.1  16.1   440   780   377   747   363   757 0.78 -
3604_g               -            902 1928at5794           -            958   4.9e-51  172.4  26.2   3   3   1.8e-10   2.6e-07   27.7   0.0   792   893   793   891   771   895 0.86 -
4359_g               -            740 1928at5794           -            958   1.6e-38  131.0  12.4   1   3     0.027        39    0.6   0.3   254   286   396   428   389   438 0.80 -
4359_g               -            740 1928at5794           -            958   1.6e-38  131.0  12.4   2   3   1.1e-20   1.6e-17   61.5   1.2    40   134   461   565   452   585 0.81 -
4359_g               -            740 1928at5794           -            958   1.6e-38  131.0  12.4   3   3   7.5e-25   1.1e-21   75.3   0.4   135   223   651   740   645   740 0.95 -
5750_g               -            166 1928at5794           -            958   1.4e-09   35.2   1.0   1   1   1.2e-12   1.7e-09   34.9   1.0   298   376    23   107    18   126 0.77 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1928at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb/run_apicomplexa_odb10/hmmer_output/initial_run_results/1928at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1928at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:22:10 2023
# [ok]
