#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1673_g               -           1031 1619at5794           -           1050         0 1589.6  38.0   1   3    2e-115  2.4e-112  375.5   2.2    28   241     1   232     1   243 0.94 -
1673_g               -           1031 1619at5794           -           1050         0 1589.6  38.0   2   3  1.8e-151  2.1e-148  494.8   7.9   239   492   294   552   288   560 0.97 -
1673_g               -           1031 1619at5794           -           1050         0 1589.6  38.0   3   3  6.3e-223  7.6e-220  731.4  12.3   533   951   563  1031   555  1031 0.93 -
5194_g               -            416 1619at5794           -           1050  4.1e-224  745.5  14.4   1   1  4.6e-227  5.6e-224  745.1  14.4   234   622     9   416     3   416 0.95 -
6804_g               -            880 1619at5794           -           1050   7.4e-19   65.9  14.5   1   2   0.00029      0.35    7.4   0.3    52   107   141   200   130   223 0.79 -
6804_g               -            880 1619at5794           -           1050   7.4e-19   65.9  14.5   2   2   2.5e-19   3.1e-16   57.3   8.9   263   506   446   714   408   722 0.71 -
2769_g               -            621 1619at5794           -           1050     1e-16   58.8   3.8   1   2   8.6e-20     1e-16   58.8   3.8   617   797   152   335    50   345 0.80 -
2769_g               -            621 1619at5794           -           1050     1e-16   58.8   3.8   2   2         6   7.2e+03   -8.0  17.5   851   993   453   604   435   619 0.68 -
6209_g               -            220 1619at5794           -           1050   9.1e-13   45.8   0.2   1   1   9.7e-16   1.2e-12   45.4   0.2   621   776     9   167     2   171 0.79 -
5293_g               -            385 1619at5794           -           1050   1.9e-12   44.7   6.7   1   2     0.051        62   -0.0   0.1   961   982     2    23     1    35 0.82 -
5293_g               -            385 1619at5794           -           1050   1.9e-12   44.7   6.7   2   2   3.4e-15   4.1e-12   43.6   5.9   968  1042    39   119    15   128 0.73 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1619at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb/run_apicomplexa_odb10/hmmer_output/initial_run_results/1619at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1619at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:22:07 2023
# [ok]
